name,low,up,type
# Production Multi-Sites (volumes industriels)

# Site France (Premium) - Capacité 2000 unités/semaine  
prod_desk_FR_w1,0,800,integer
prod_desk_FR_w2,0,800,integer
prod_desk_FR_w3,0,800,integer
prod_desk_FR_w4,0,800,integer
prod_chair_FR_w1,0,1200,integer
prod_chair_FR_w2,0,1200,integer
prod_chair_FR_w3,0,1200,integer
prod_chair_FR_w4,0,1200,integer
prod_cabinet_FR_w1,0,600,integer
prod_cabinet_FR_w2,0,600,integer
prod_cabinet_FR_w3,0,600,integer
prod_cabinet_FR_w4,0,600,integer

# Site Allemagne (Volume Moyen) - Capacité 3000 unités/semaine
prod_desk_DE_w1,0,1000,integer
prod_desk_DE_w2,0,1000,integer
prod_desk_DE_w3,0,1000,integer
prod_desk_DE_w4,0,1000,integer
prod_chair_DE_w1,0,1500,integer
prod_chair_DE_w2,0,1500,integer
prod_chair_DE_w3,0,1500,integer
prod_chair_DE_w4,0,1500,integer
prod_cabinet_DE_w1,0,800,integer
prod_cabinet_DE_w2,0,800,integer
prod_cabinet_DE_w3,0,800,integer
prod_cabinet_DE_w4,0,800,integer

# Site Pologne (Volume Élevé) - Capacité 5000 unités/semaine
prod_desk_PL_w1,0,2000,integer
prod_desk_PL_w2,0,2000,integer
prod_desk_PL_w3,0,2000,integer
prod_desk_PL_w4,0,2000,integer
prod_chair_PL_w1,0,2500,integer
prod_chair_PL_w2,0,2500,integer
prod_chair_PL_w3,0,2500,integer
prod_chair_PL_w4,0,2500,integer
prod_cabinet_PL_w1,0,1500,integer
prod_cabinet_PL_w2,0,1500,integer
prod_cabinet_PL_w3,0,1500,integer
prod_cabinet_PL_w4,0,1500,integer

# Variables de transport inter-sites (milliers d'unités)
transport_FR_DE_w1,0,500,integer
transport_FR_DE_w2,0,500,integer
transport_FR_DE_w3,0,500,integer
transport_FR_DE_w4,0,500,integer
transport_DE_PL_w1,0,1000,integer
transport_DE_PL_w2,0,1000,integer
transport_DE_PL_w3,0,1000,integer
transport_DE_PL_w4,0,1000,integer

# Inventaires (volumes industriels)
inv_desk_w1,0,5000,integer
inv_desk_w2,0,5000,integer
inv_desk_w3,0,5000,integer
inv_desk_w4,0,5000,integer
inv_chair_w1,0,8000,integer
inv_chair_w2,0,8000,integer
inv_chair_w3,0,8000,integer
inv_chair_w4,0,8000,integer
inv_cabinet_w1,0,4000,integer
inv_cabinet_w2,0,4000,integer
inv_cabinet_w3,0,4000,integer
inv_cabinet_w4,0,4000,integer

# Variables binaires setup par site/produit
setup_desk_FR_w1,0,1,binary
setup_desk_FR_w2,0,1,binary
setup_desk_FR_w3,0,1,binary
setup_desk_FR_w4,0,1,binary
setup_chair_FR_w1,0,1,binary
setup_chair_FR_w2,0,1,binary
setup_chair_FR_w3,0,1,binary
setup_chair_FR_w4,0,1,binary
setup_cabinet_FR_w1,0,1,binary
setup_cabinet_FR_w2,0,1,binary
setup_cabinet_FR_w3,0,1,binary
setup_cabinet_FR_w4,0,1,binary

setup_desk_DE_w1,0,1,binary
setup_desk_DE_w2,0,1,binary
setup_desk_DE_w3,0,1,binary
setup_desk_DE_w4,0,1,binary
setup_chair_DE_w1,0,1,binary
setup_chair_DE_w2,0,1,binary
setup_chair_DE_w3,0,1,binary
setup_chair_DE_w4,0,1,binary
setup_cabinet_DE_w1,0,1,binary
setup_cabinet_DE_w2,0,1,binary
setup_cabinet_DE_w3,0,1,binary
setup_cabinet_DE_w4,0,1,binary

setup_desk_PL_w1,0,1,binary
setup_desk_PL_w2,0,1,binary
setup_desk_PL_w3,0,1,binary
setup_desk_PL_w4,0,1,binary
setup_chair_PL_w1,0,1,binary
setup_chair_PL_w2,0,1,binary
setup_chair_PL_w3,0,1,binary
setup_chair_PL_w4,0,1,binary
setup_cabinet_PL_w1,0,1,binary
setup_cabinet_PL_w2,0,1,binary
setup_cabinet_PL_w3,0,1,binary
setup_cabinet_PL_w4,0,1,binary

# Variables d'inventaire
inv_CH_w1,0,5000
inv_CH_w2,0,5000
inv_CH_w3,0,5000
inv_CH_w4,0,5000
inv_TA_w1,0,3000
inv_TA_w2,0,3000
inv_TA_w3,0,3000
inv_TA_w4,0,3000
inv_DE_w1,0,2000
inv_DE_w2,0,2000
inv_DE_w3,0,2000
inv_DE_w4,0,2000

# Variables de backlog
back_CH_w4,0,1000
back_TA_w4,0,800
back_DE_w4,0,600

# Variables de setup (alias pour compatibilité objectives.csv)
setup_CH_w1,0,1,binary
setup_CH_w2,0,1,binary
setup_CH_w3,0,1,binary
setup_CH_w4,0,1,binary
setup_TA_w1,0,1,binary
setup_TA_w2,0,1,binary
setup_TA_w3,0,1,binary
setup_TA_w4,0,1,binary
setup_DE_w1,0,1,binary
setup_DE_w2,0,1,binary
setup_DE_w3,0,1,binary
setup_DE_w4,0,1,binary

# Heures supplémentaires
overtime_w1,0,100000
overtime_w2,0,100000
overtime_w3,0,100000
overtime_w4,0,100000
ot_carp_w1,0,50000
ot_carp_w2,0,50000
ot_carp_w3,0,50000
ot_carp_w4,0,50000

# Variables de Transfert Inter-Sites (Optimisation Supply Chain)
# Format: transfer_[produit]_[origine]_to_[destination]_w[X]

# Transferts Chaises - Flux inter-européens  
transfer_chair_PL_to_DE_w1,0,500,integer
transfer_chair_PL_to_DE_w2,0,500,integer
transfer_chair_PL_to_DE_w3,0,500,integer
transfer_chair_PL_to_DE_w4,0,500,integer
transfer_chair_PL_to_FR_w1,0,300,integer
transfer_chair_PL_to_FR_w2,0,300,integer
transfer_chair_PL_to_FR_w3,0,300,integer
transfer_chair_PL_to_FR_w4,0,300,integer
transfer_chair_DE_to_FR_w1,0,200,integer
transfer_chair_DE_to_FR_w2,0,200,integer
transfer_chair_DE_to_FR_w3,0,200,integer
transfer_chair_DE_to_FR_w4,0,200,integer

# Transferts Bureaux - Logique premium 
transfer_desk_PL_to_DE_w1,0,400,integer
transfer_desk_PL_to_DE_w2,0,400,integer
transfer_desk_PL_to_DE_w3,0,400,integer
transfer_desk_PL_to_DE_w4,0,400,integer
transfer_desk_DE_to_FR_w1,0,250,integer
transfer_desk_DE_to_FR_w2,0,250,integer
transfer_desk_DE_to_FR_w3,0,250,integer
transfer_desk_DE_to_FR_w4,0,250,integer

# Transferts Armoires - Spécialisation complexe
transfer_cabinet_PL_to_DE_w1,0,300,integer
transfer_cabinet_PL_to_DE_w2,0,300,integer
transfer_cabinet_PL_to_DE_w3,0,300,integer
transfer_cabinet_PL_to_DE_w4,0,300,integer
transfer_cabinet_DE_to_FR_w1,0,150,integer
transfer_cabinet_DE_to_FR_w2,0,150,integer
transfer_cabinet_DE_to_FR_w3,0,150,integer
transfer_cabinet_DE_to_FR_w4,0,150,integer
